rank,prev_rank,name,league,off,def,spi
507,506,Veracruz,Mexican Primera Division Torneo Apertura,0.86,1.82,24.77
508,507,Rodez,French Ligue 2,0.86,1.82,24.72
509,497,North Carolina FC,United Soccer League,0.98,2.01,24.69
510,508,Cercle Brugge,Belgian Jupiler League,1.01,2.06,24.65
511,509,SuperSport United,South African ABSA Premier League,0.73,1.64,24.52
512,510,Silkeborg,Danish SAS-Ligaen,1.04,2.11,24.51
513,514,Fleetwood Town,English League One,0.83,1.83,24.12
514,515,Ross County,Scottish Premiership,0.84,1.84,24.09
515,516,Chateauroux,French Ligue 2,0.63,1.51,24.08
516,517,Vancouver Whitecaps,Major League Soccer,0.93,1.98,24.08
517,518,Highlands Park FC,South African ABSA Premier League,0.75,1.71,23.93
518,520,Orange County SC,United Soccer League,0.87,1.92,23.62
519,519,Lillestrom,Norwegian Tippeligaen,0.88,1.95,23.36
520,521,US Pescara,Italy Serie B,0.78,1.81,23.24
521,523,Indy Eleven,United Soccer League,0.68,1.64,23.19
522,522,St. Pölten,Austrian T-Mobile Bundesliga,0.82,1.89,22.96
523,511,Doncaster Rovers,English League One,0.79,1.84,22.81
524,524,AC Horsens,Danish SAS-Ligaen,0.76,1.8,22.8
525,531,San Antonio FC,United Soccer League,1.09,2.32,22.65
526,525,Shonan Bellmare,Japanese J League,0.92,2.07,22.51
527,527,Cremonese,Italy Serie B,0.65,1.66,22.18
528,528,Chambly Thelle FC,French Ligue 2,0.64,1.65,22.14
529,529,Östersunds FK,Swedish Allsvenskan,0.79,1.9,22.12
530,530,Bloem Celtic,South African ABSA Premier League,0.68,1.73,21.91
531,534,Salernitana,Italy Serie B,0.72,1.81,21.7
532,535,Ascoli,Italy Serie B,0.72,1.82,21.67
533,513,Wellington Phoenix,Australian A-League,0.89,2.09,21.67
534,537,FC Cincinnati,Major League Soccer,0.85,2.03,21.63
535,532,Sacramento Republic FC,United Soccer League,0.76,1.89,21.44
536,538,IK Sirius,Swedish Allsvenskan,0.87,2.08,21.43
537,539,Tromso,Norwegian Tippeligaen,0.98,2.25,21.41
538,536,Fresno FC,United Soccer League,0.88,2.09,21.35
539,540,Le Mans,French Ligue 2,0.81,1.99,21.23
540,541,Wycombe Wanderers,English League One,0.75,1.9,21.08
541,533,Milton Keynes Dons,English League One,0.77,1.94,21.02
542,526,Coventry City,English League One,0.72,1.87,21.01
543,542,Livorno,Italy Serie B,0.73,1.88,20.97
544,544,Bradford City,English League Two,0.73,1.9,20.8
545,545,F.B.C Unione Venezia,Italy Serie B,0.63,1.74,20.61
546,547,Pordenone Calcio,Italy Serie B,0.7,1.86,20.56
547,548,Pisa,Italy Serie B,0.71,1.88,20.49
548,549,Stromsgodset,Norwegian Tippeligaen,0.83,2.09,20.42
549,550,Cosenza,Italy Serie B,0.6,1.7,20.41
550,553,Bristol Rovers,English League One,0.61,1.72,20.4
551,543,Blackpool,English League One,0.66,1.81,20.34
552,552,Virtus Entella,Italy Serie B,0.66,1.81,20.28
553,551,Gillingham,English League One,0.7,1.89,20.25
554,554,Austin Bold FC,United Soccer League,0.83,2.1,20.18
555,558,LA Galaxy II,United Soccer League,1.0,2.39,20.07
556,555,Helsingborgs IF,Swedish Allsvenskan,0.69,1.88,19.93
557,556,St Johnstone,Scottish Premiership,0.67,1.86,19.85
558,557,Mjondalen,Norwegian Tippeligaen,0.81,2.1,19.72
559,546,Lincoln City,English League One,0.71,1.95,19.6
560,559,Polokwane City FC,South African ABSA Premier League,0.57,1.71,19.46
561,560,Maritzburg Utd,South African ABSA Premier League,0.48,1.58,19.05
562,561,St Mirren,Scottish Premiership,0.58,1.77,18.98
563,563,Ranheim,Norwegian Tippeligaen,0.73,2.05,18.81
564,564,Jubilo Iwata,Japanese J League,0.53,1.72,18.45
565,567,Brisbane Roar,Australian A-League,0.84,2.26,18.43
566,562,New Mexico United,United Soccer League,0.87,2.34,18.11
567,565,Juve Stabia,Italy Serie B,0.61,1.9,17.99
568,568,Portland Timbers 2,United Soccer League,1.01,2.61,17.74
569,566,Ottawa Fury FC,United Soccer League,0.62,1.96,17.52
570,569,Matsumoto Yamaga FC,Japanese J League,0.38,1.51,17.39
571,570,Kalmar FF,Swedish Allsvenskan,0.5,1.81,16.58
572,580,Tranmere Rovers,English League One,0.65,2.1,16.44
